sample,date,time,latitude,longitude,watershed,site,habitat,microhabitat,elevation,temperature,sp_cond,conductivity,tds,salinity,ph,orp,TN,TP,DOC
W1_14_W,28-May-15,14:49,44.204814,-122.249864,WS01,W1_14,water,Pool,592,12.98,62,48,0.04,0.03,7.35,45.9,54.1745283,19.67523822,1.424
W1_15_S,28-May-15,14:49,44.204814,-122.249864,WS01,W1_15,sediment,Riffle,592,13.24,63,49,0.041,0.03,7.51,30.8,106.25,20.48630913,1.175
W1_15_W,28-May-15,14:49,44.204814,-122.249864,WS01,W1_15,water,Riffle,592,13.24,63,49,0.041,0.03,7.51,30.8,106.25,20.48630913,1.175
W1_16_S,28-May-15,15:32,44.205114,-122.249656,WS01,W1_16,sediment,Pool,581,12.99,25,20,0.016,0.01,7.56,27.2,71.53301887,13.6175524,1.902
W1_16_W,28-May-15,15:32,44.205114,-122.249656,WS01,W1_16,water,Pool,581,12.99,25,20,0.016,0.01,7.56,27.2,71.53301887,13.6175524,1.902
W1_17_S,28-May-15,15:32,44.205114,-122.249656,WS01,W1_17,sediment,Riffle,581,13.18,27,21,0.017,0.01,7.59,23.8,71.53301887,14.55535313,1.945
W1_17_W,28-May-15,15:32,44.205114,-122.249656,WS01,W1_17,water,Riffle,581,13.18,27,21,0.017,0.01,7.59,23.8,71.53301887,14.55535313,1.945
W1_18_S,29-May-15,16:31,44.204544,-122.249744,WS01,W1_18,sediment,Pool,591,14.95,39,31,0.025,0.02,7.24,30.2,93.23113208,21.80429935,2.961
W1_18_W,29-May-15,16:31,44.204544,-122.249744,WS01,W1_18,water,Pool,591,14.95,39,31,0.025,0.02,7.24,30.2,93.23113208,21.80429935,2.961
W1_19_S,29-May-15,16:31,44.204544,-122.249744,WS01,W1_19,sediment,Riffle,591,14.61,37,30,0.024,0.02,7.26,22.6,119.2688679,23.0969436,1.532
W1_19_W,29-May-15,16:31,44.204544,-122.249744,WS01,W1_19,water,Riffle,591,14.61,37,30,0.024,0.02,7.26,22.6,119.2688679,23.0969436,1.532
W1_20_S,2-Jun-15,12:44,44.20295,-122.249614,WS01,W1_20,sediment,Pool,644,12.9,25,19,0.016,0.01,7.17,35.5,NA,554.2216564,1.573
W1_20_W,2-Jun-15,12:44,44.20295,-122.249614,WS01,W1_20,water,Pool,644,12.9,25,19,0.016,0.01,7.17,35.5,NA,554.2216564,1.573
W1_21_S,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_21,sediment,Pool,470,12.87,54,41,0.035,0.02,7.11,44,84.55188679,23.73059275,1.419
W1_21_W,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_21,water,Pool,470,12.87,54,41,0.035,0.02,7.11,44,84.55188679,23.73059275,1.419
W1_22_S,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_22,sediment,Riffle,470,12.83,51,39,0.034,0.02,7.16,36.8,88.89150943,18.07844238,1.946
W1_22_W,3-Jun-15,17:21,44.207053,-122.256483,WS01,W1_22,water,Riffle,470,12.83,51,39,0.034,0.02,7.16,36.8,88.89150943,18.07844238,1.946
